# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠐⠬⠆⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠐⠬⠂⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mo>-</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>×</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>±</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> <mrow> <mi>x</mi> <mo>×</mo> <mn>4</mn> </mrow> <mo>,</mo> <mrow> <mi>x</mi> <mo>:</mo> <mrow> <mn>4</mn> <mo>=</mo> </mrow> </mrow> </mrow> </mrow> </mrow> </math>
✗ | ⠏⠷⠤⠆⠾⠠ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </math>
✗ | ⠏⠷⠆⠾⠠ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </math>
✗ | ⠭⠀⠐⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>4</mn> </mrow> </math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> <mo>=</mo> <mn>4</mn> </mrow> </math>
✗ | ⠰⠏⠀⠿ | <math> <mrow> <mi>p</mi> <mo>?</mo> </mrow> </math> | <math> <mi>P</mi> </math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠡⠛⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠠⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠋⠷⠭⠾⠠⠀⠭⠀⠐⠅⠀⠁⠀⣍⠛⠷⠭⠾⠠⠀⠭⠀⠨⠂⠱⠀⠁⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mi>a</mi> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> <mo>=</mo> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>≤</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>≥</mo> <mrow> <mi>a</mi> <mo>=</mo> <mi>data-mjx-texclass</mi> <mo>=</mo> <mrow> <mi>CLOSE</mi> <mo>⁢</mo> <mi>fence</mi> </mrow> <mo>=</mo> <mrow> <mi>true</mi> <mo>⁢</mo> <mi>stretchy</mi> </mrow> <mo>=</mo> <mrow> <mi>true</mi> <mo>⁢</mo> <mi>symmetric</mi> </mrow> <mo>=</mo> <mrow> <mrow> <mi>true</mi> <mo>/</mo> </mrow> <mo>≥</mo> </mrow> </mrow> </mrow> </mrow> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>3</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠷⠋⠤⠛⠾⠷⠭⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠞⠤⠆ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠷⠹⠋⠌⠛⠼⠾⠷⠞⠾⠀⠨⠅ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <--bad MathML--><math><mrow><mrow><mo>(</mo><mrow><mo>[</mo><mi>f</mi><mo>,</mo><mi>g</mi><mo>]</mo></mrow><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠬⠭⠘⠆ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>+</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>+</mo> <mrow> <mi>x</mi> <mo>⁢</mo> <msup> <mn>6</mn> <mi> </mi> </msup> </mrow> </mrow> </mrow> </math>
✗ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <--bad MathML--><math><mrow><mrow><mo>(</mo><mrow><mi>f</mi><mo>·</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠒⠾⠀⠨⠅ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>z</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠋⠷⠒⠾⠬⠛⠷⠒⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>z</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>z</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠋⠷⠤⠆⠾⠀⠨⠅ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠷⠋⠬⠛⠾⠷⠤⠆⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <--bad MathML--><math><mrow><mrow><mo>(</mo><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo><mo>=</mo></mrow></math>
✓ | ⠼⠂ | <math> <mn>1</mn> </math> | <math> <mn>1</mn> </math>
✓ | ⠼⠒ | <math> <mn>3</mn> </math> | <math> <mn>3</mn> </math>
✗ | ⠤⠼⠲ | <math> <mrow> <mo>-</mo> <mn>4</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>3</mn> </mrow> </math>
✗ | ⠷⠋⠤⠛⠾⠷⠲⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>·</mo> <mi>k</mi> </mrow> </math>
✗ | ⠷⠹⠋⠌⠛⠼⠾⠷⠲⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>3</mo> </mrow> <mo>)</mo> </mrow> <mo>·</mo> <mi>k</mi> </mrow> </math>
✗ | ⠎⠷⠞⠾⠀⠨⠅⠀⠼⠢⠤⠒⠞⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mrow> <mi>k</mi> <mo>×</mo> <mn>2</mn> </mrow> </mrow> <mo>-</mo> <mi>t</mi> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠛⠷⠞⠾⠀⠨⠅⠀⠷⠹⠎⠌⠗⠼⠾⠷⠞⠾ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>3</mo> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠟⠷⠞⠾⠀⠨⠅⠀⠷⠎⠨⠡⠗⠾⠷⠞⠾ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⁢</mo> <msub> <mi>α</mi> <mi>r</mi> </msub> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠰⠎ | <math> <mi>s</mi> </math> | <math> <mi>s</mi> </math>
✗ | ⠽⠀⠨⠅⠀⠎⠷⠞⠾ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠛⠷⠭⠾ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠷⠎⠡⠛⠾⠷⠂⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠷⠎⠨⠡⠛⠾⠷⠂⠨⠢⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⁢</mo> <msub> <mi>α</mi> <mi data-chem-state="true">g</mi> </msub> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>,</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠰⠙⠠ | <math> <mrow> <mi>d</mi> <mo>,</mo> </mrow> </math> | <math> <mi>d</mi> </math>
✗ | ⠼⠆⠨⠲ | <math> <mn>2.4</mn> </math> | <math> <mn>6</mn> </math>
✗ | ⠼⠆⠖⠨⠆ | <math> <mn>26.2</mn> </math> | <math> <mrow> <mn>6</mn> <mo>∶</mo> <mn>6</mn> </mrow> </math>
✗ | ⠼⠴⠨⠴⠢ | <math> <mn>0.05</mn> </math> | <math> <mrow> <mrow> <mn>0</mn> <mo>0</mo> </mrow> <mo>;</mo> </mrow> </math>
✗ | ⠼⠴⠨⠴⠒ | <math> <mn>0.03</mn> </math> | <math> <mrow> <mrow> <mn>0</mn> <mo>0</mo> </mrow> <mo>:</mo> </mrow> </math>
✓ | ⠎⠷⠞⠾ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠉⠕⠎⠀⠷⠞⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠷⠤⠹⠨⠏⠌⠆⠼⠠⠀⠹⠨⠏⠌⠆⠼⠾⠠ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>P</mi> <mn>6</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>P</mi> <mn>6</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </math>
✗ | ⠞⠀⠨⠅⠀⠁⠗⠉⠞⠁⠝⠀⠷⠽⠾⠸⠲ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>t</mi> <mo>·</mo> <mi>k</mi> <mo>·</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠎⠑⠉⠀⠷⠞⠾⠠ | <math> <mrow> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
