# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✗ | <math><mtable columnalign="left"><mtr><mtd><mrow><msub><mi>s</mi><mi>x</mi></msub><mo>=</mo><mtext> sample standard deviation</mtext></mrow></mtd></mtr><mtr><mtd><mrow><mover accent="true"><mi>x</mi><mo stretchy="true">–</mo></mover><mtext> = sample mean</mtext></mrow></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠎⠢⠭⠀⠐⠶⠀⠎⠁⠍⠏⠇⠑⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠞⠊⠕⠝⠠⠠⠭⠱⠀⠐⠶⠀⠎⠁⠍⠏⠇⠑⠀⠍⠑⠁⠝⠠⠰⠄ | ⠰⠰⠰⠎⠢⠭⠀⠐⠶⠀⠎⠁⠍⠏⠇⠑⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠞⠊⠕⠝⠠⠠⠭⠰⠱⠀⠐⠶⠀⠎⠁⠍⠏⠇⠑⠀⠍⠑⠁⠝⠰⠄
✓ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn><mo>.</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠤⠼⠁⠲ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠤⠼⠁⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>43</mn></math> | ⠼⠙⠉ | ⠼⠙⠉
✓ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mn>3</mn><mi>x</mi></msup></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠔⠭ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠔⠭
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext>Xmin</mtext><mo>=</mo><mo>−</mo><mn>5</mn><mtext>,</mtext></math> | ⠠⠭⠍⠔⠀⠐⠶⠀⠐⠤⠼⠑⠂⠀ | ⠠⠭⠍⠔⠀⠐⠶⠀⠐⠤⠼⠑⠂
✓ | <math><mrow><mn>1</mn><mo>×</mo><mn>60</mn><mspace width="1em"></mspace><mn>2</mn><mo>×</mo><mn>30</mn><mspace width="1em"></mspace><mn>3</mn><mo>×</mo><mn>20</mn><mspace width="1em"></mspace><mn>4</mn><mo>×</mo><mn>15</mn><mspace width="1em"></mspace><mn>5</mn><mo>×</mo><mn>12</mn><mspace width="1em"></mspace><mn>6</mn><mo>×</mo><mn>10</mn></mrow></math> | ⠼⠁⠐⠦⠼⠋⠚⠀⠼⠃⠐⠦⠼⠉⠚⠀⠼⠉⠐⠦⠼⠃⠚⠀⠼⠙⠐⠦⠼⠁⠑⠀⠼⠑⠐⠦⠼⠁⠃⠀⠼⠋⠐⠦⠼⠁⠚ | ⠼⠁⠐⠦⠼⠋⠚⠀⠼⠃⠐⠦⠼⠉⠚⠀⠼⠉⠐⠦⠼⠃⠚⠀⠼⠙⠐⠦⠼⠁⠑⠀⠼⠑⠐⠦⠼⠁⠃⠀⠼⠋⠐⠦⠼⠁⠚
✓ | <math><mrow><mi>θ</mi><mtext>.</mtext></mrow></math> | ⠨⠹⠲ | ⠨⠹⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>81</mn></math> | ⠼⠓⠁ | ⠼⠓⠁
✓ | <math><mrow><mo>(</mo><mrow><mn>−2</mn><mo>,</mo><mn>0</mn></mrow><mo>)</mo></mrow></math> | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠚⠐⠜ | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠚⠐⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msub><mtext>H</mtext><mn>2</mn></msub></math> | ⠠⠓⠰⠢⠼⠃ | ⠠⠓⠢⠼⠃
✓ | <math><mrow><mi>y</mi><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | ⠰⠽⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | ⠰⠽⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>a</mi><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>h</mi><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mi>k</mi></mrow></math> | ⠰⠰⠰⠽⠀⠐⠶⠀⠁⠐⠣⠭⠐⠤⠓⠐⠜⠔⠼⠃⠐⠖⠅⠰⠄ | ⠰⠽⠀⠐⠶⠀⠁⠐⠣⠭⠐⠤⠓⠐⠜⠔⠼⠃⠐⠖⠅
✓ | <math><mrow><mi>a</mi><mo>×</mo><mi>x</mi></mrow></math> | ⠁⠐⠦⠭ | ⠁⠐⠦⠭
✗ | <math><mrow><mtext>Example: </mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math> | ⠰⠰⠰⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠷⠼⠉⠭⠔⠼⠃⠐⠖⠼⠃⠨⠌⠭⠔⠼⠃⠐⠖⠼⠙⠭⠐⠤⠼⠑⠾⠰⠄ | ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠉⠭⠔⠼⠃⠐⠖⠼⠃⠨⠌⠭⠔⠼⠃⠐⠖⠼⠙⠭⠐⠤⠼⠑⠾
✓ | <math><mfrac><mn>40</mn><mn>150</mn></mfrac></math> | ⠼⠙⠚⠌⠁⠑⠚ | ⠼⠙⠚⠌⠁⠑⠚
✗ | <math><mrow><mfrac><mrow><mi>P</mi><mfenced><mrow><mi>x</mi><mo>=</mo><mn>5</mn></mrow></mfenced></mrow><mrow><mi>P</mi><mfenced><mrow><mi>x</mi><mo>=</mo><mn>4</mn></mrow></mfenced></mrow></mfrac><mo>=</mo><mfrac><mrow><mn>0</mn><mo>.</mo><mn>018447</mn></mrow><mrow><mn>0</mn><mo>.</mo><mn>018823</mn></mrow></mfrac><mo>=</mo><mn>0</mn><mo>.</mo><mn>98</mn></mrow></math> | ⠰⠷⠠⠏⠐⠣⠭⠀⠐⠶⠀⠼⠑⠐⠜⠨⠌⠠⠏⠐⠣⠭⠀⠐⠶⠀⠼⠙⠐⠜⠾⠀⠐⠶⠀⠼⠚⠲⠚⠁⠓⠙⠙⠛⠌⠚⠲⠚⠁⠓⠓⠃⠉⠀⠐⠶⠀⠼⠚⠲⠊⠓ | ⠰⠰⠰⠷⠠⠏⠐⠣⠭⠐⠶⠼⠑⠐⠜⠨⠌⠠⠏⠐⠣⠭⠐⠶⠼⠙⠐⠜⠾⠀⠐⠶⠀⠼⠚⠲⠚⠁⠓⠙⠙⠛⠌⠚⠲⠚⠁⠓⠓⠃⠉⠀⠐⠶⠀⠼⠚⠲⠊⠓⠰⠄
✓ | <math><mrow><msub><mi>a</mi><mn>21</mn></msub><mo>=</mo><mn>3</mn><mo>+</mo><mo>(</mo><mn>21</mn><mo>-</mo><mn>1</mn><mo>)</mo><mo>(</mo><mn>8</mn><mo>)</mo></mrow></math> | ⠁⠰⠢⠼⠃⠁⠀⠐⠶⠀⠼⠉⠐⠖⠐⠣⠼⠃⠁⠐⠤⠼⠁⠐⠜⠐⠣⠼⠓⠐⠜ | ⠁⠰⠢⠼⠃⠁⠀⠐⠶⠀⠼⠉⠐⠖⠐⠣⠼⠃⠁⠐⠤⠼⠁⠐⠜⠐⠣⠼⠓⠐⠜
✗ | <math><mrow><mo>(</mo><mfrac><mn>1</mn><mrow><mi>b</mi><mo>−</mo><mi>a</mi></mrow></mfrac><mo>)</mo></mrow></math> | ⠐⠣⠰⠷⠼⠁⠨⠌⠃⠐⠤⠁⠾⠐⠜ | ⠐⠣⠷⠼⠁⠨⠌⠃⠐⠤⠁⠾⠐⠜
✗ | <math><msqrt><mfrac><mrow><mn>1</mn><mo>−</mo><mi>p</mi></mrow><msup><mi>p</mi><mn>2</mn></msup></mfrac></msqrt></math> | ⠰⠰⠩⠷⠼⠁⠐⠤⠏⠨⠌⠏⠔⠼⠃⠾⠬ | ⠰⠩⠷⠼⠁⠐⠤⠏⠨⠌⠏⠔⠼⠃⠾⠬
✓ | <math><mn>8.369</mn></math> | ⠼⠓⠲⠉⠋⠊ | ⠼⠓⠲⠉⠋⠊
✓ | <math><mfrac><msup><mn>4</mn><mn>5</mn></msup><msup><mn>4</mn><mn>3</mn></msup></mfrac></math> | ⠰⠷⠼⠙⠔⠼⠑⠨⠌⠼⠙⠔⠼⠉⠾ | ⠰⠷⠼⠙⠔⠼⠑⠨⠌⠼⠙⠔⠼⠉⠾
✓ | <math><msup><mi>r</mi><mn>2</mn></msup></math> | ⠗⠰⠔⠼⠃ | ⠗⠰⠔⠼⠃
✓ | <math><mrow><mi>n</mi><mo>.</mo></mrow></math> | ⠰⠝⠲ | ⠰⠝⠲
✗ | <math><mrow><mi>S</mi><mo>&gt;</mo><mn>0</mn><mo>,</mo></mrow></math> | ⠰⠠⠎⠀⠈⠜⠀⠼⠚⠂⠀ | ⠠⠎⠀⠈⠜⠀⠼⠚⠂
✓ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mtext> and </mtext><mi>B</mi><mo stretchy="false">)</mo><mo>=</mo><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>P</mi><mo stretchy="false">(</mo><mi>B</mi><mo stretchy="false">)</mo></mrow></math> | ⠠⠏⠐⠣⠠⠁⠀⠯⠀⠰⠠⠃⠐⠜⠀⠐⠶⠀⠠⠏⠐⠣⠠⠁⠐⠜⠐⠲⠠⠏⠐⠣⠠⠃⠐⠜ | ⠠⠏⠐⠣⠠⠁⠀⠯⠀⠰⠠⠃⠐⠜⠀⠐⠶⠀⠠⠏⠐⠣⠠⠁⠐⠜⠐⠲⠠⠏⠐⠣⠠⠃⠐⠜
✓ | <math><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>−3</mn></mrow><mo>)</mo></mrow></math> | ⠐⠣⠼⠚⠂⠀⠐⠤⠼⠉⠐⠜ | ⠐⠣⠼⠚⠂⠀⠐⠤⠼⠉⠐⠜
✓ | <math><mrow><mo>(</mo><mrow><mn>−4</mn><mo>,</mo><mn>5</mn></mrow><mo>)</mo></mrow></math> | ⠐⠣⠐⠤⠼⠙⠂⠀⠼⠑⠐⠜ | ⠐⠣⠐⠤⠼⠙⠂⠀⠼⠑⠐⠜
✓ | <math><mfrac><mrow><mtext>number of outcomes in</mtext><mspace width="0.25em"></mspace><mi>T</mi></mrow><mrow><mtext>number of outcomes in</mtext><mspace width="0.25em"></mspace><mi>S</mi></mrow></mfrac></math> | ⠰⠰⠰⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠠⠞⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠠⠎⠾⠰⠄ | ⠰⠰⠰⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠠⠞⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠠⠎⠾⠰⠄
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo>,</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></math> | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠁⠐⠜⠲ | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠁⠐⠜⠲
✓ | <math><mrow><mtext>−</mtext><msup><mn>16</mn><mfrac><mn>1</mn><mn>4</mn></mfrac></msup></mrow></math> | ⠐⠤⠼⠁⠋⠔⠼⠁⠌⠙ | ⠐⠤⠼⠁⠋⠔⠼⠁⠌⠙
✓ | <math><mrow><mfrac><mn>1</mn><mn>5</mn></mfrac><mo>=</mo><mn>0.20</mn></mrow></math> | ⠼⠁⠌⠑⠀⠐⠶⠀⠼⠚⠲⠃⠚ | ⠼⠁⠌⠑⠀⠐⠶⠀⠼⠚⠲⠃⠚
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>Q</mi></math> | ⠰⠠⠟ | ⠠⠟
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle><mo>=</mo><mn>1</mn><mtext> </mtext><mtext> </mtext></math> | ⠬⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠖⠷⠼⠃⠨⠌⠭⠾⠀⠐⠶⠀⠼⠁⠬ | ⠀⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠖⠷⠼⠃⠨⠌⠭⠾⠀⠐⠶⠀⠼⠁⠀
✓ | <math><mfrac><mn>24</mn><mn>88</mn></mfrac></math> | ⠼⠃⠙⠌⠓⠓ | ⠼⠃⠙⠌⠓⠓
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>96</mn></math> | ⠼⠊⠋ | ⠼⠊⠋
✗ | <math><mtext>$203,400</mtext></math> | ⠈⠎⠼⠃⠚⠉⠂⠀⠼⠙⠚⠚ | ⠈⠎⠼⠃⠚⠉⠂⠙⠚⠚
✗ | <math><mrow><msup><mi>a</mi><mn>0</mn></msup><mo>=</mo><mn>1</mn></mrow></math> | ⠁⠰⠔⠼⠚⠀⠐⠶⠀⠼⠁ | ⠰⠁⠔⠼⠚⠀⠐⠶⠀⠼⠁
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mo>−</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mn>2</mn></mfrac></mstyle><mo data-mjx-texclass="CLOSE">)</mo></mrow></mstyle></math> | ⠜⠉⠉⠕⠎⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜ | ⠜⠉⠉⠕⠎⠐⠣⠐⠤⠼⠁⠌⠃⠐⠜
✓ | <math><mrow><mi>t</mi><mo>.</mo></mrow></math> | ⠰⠞⠲ | ⠰⠞⠲
✓ | <math><msqrt><mo>(</mo><mn>89.9</mn><mo>)</mo></msqrt></math> | ⠰⠩⠐⠣⠼⠓⠊⠲⠊⠐⠜⠬ | ⠰⠩⠐⠣⠼⠓⠊⠲⠊⠐⠜⠬
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠧⠐⠜ | ⠋⠐⠣⠧⠐⠜
✗ | <math><mrow><msub><mi>a</mi><mn>13</mn></msub><mo>=</mo><mo>−</mo><mn>60</mn><mo>,</mo><mspace width="0.5em"></mspace><msub><mi>a</mi><mn>33</mn></msub><mo>=</mo><mo>−</mo><mn>160</mn></mrow></math> | ⠰⠰⠰⠁⠢⠼⠁⠉⠀⠐⠶⠀⠐⠤⠼⠋⠚⠂⠀⠁⠢⠼⠉⠉⠀⠐⠶⠀⠐⠤⠼⠁⠋⠚⠰⠄ | ⠁⠰⠢⠼⠁⠉⠀⠐⠶⠀⠐⠤⠼⠋⠚⠂⠀⠁⠰⠢⠼⠉⠉⠀⠐⠶⠀⠐⠤⠼⠁⠋⠚
✓ | <math><mrow><mi>log</mi><mrow><mo>(</mo><mrow><mn>4</mn><mo>−</mo><mn>2</mn><mi>x</mi></mrow><mo>)</mo></mrow><mo>=</mo><mi>log</mi><mrow><mo>(</mo><mrow><mo>−</mo><mn>4</mn><mi>x</mi></mrow><mo>)</mo></mrow></mrow></math> | ⠇⠕⠛⠐⠣⠼⠙⠐⠤⠼⠃⠭⠐⠜⠀⠐⠶⠀⠇⠕⠛⠐⠣⠐⠤⠼⠙⠭⠐⠜ | ⠇⠕⠛⠐⠣⠼⠙⠐⠤⠼⠃⠭⠐⠜⠀⠐⠶⠀⠇⠕⠛⠐⠣⠐⠤⠼⠙⠭⠐⠜
✓ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn><mo>.</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠤⠼⠙⠭⠐⠤⠼⠑⠲ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠤⠼⠙⠭⠐⠤⠼⠑⠲
✓ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mo stretchy="false">|</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">|</mo><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠰⠭⠂⠀⠸⠳⠭⠐⠖⠼⠁⠸⠳⠐⠜ | ⠐⠣⠰⠭⠂⠀⠸⠳⠭⠐⠖⠼⠁⠸⠳⠐⠜
✗ | <math><mrow><mi>n</mi><mtext>,</mtext></mrow></math> | ⠰⠝⠂⠀ | ⠰⠝⠂
✓ | <math><mi>e</mi></math> | ⠰⠑ | ⠰⠑
✓ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn><mtext>.</mtext></mrow></math> | ⠰⠭⠀⠐⠶⠀⠼⠉⠲ | ⠰⠭⠀⠐⠶⠀⠼⠉⠲
✓ | <math><mrow><msub><mi>a</mi><mn>2</mn></msub><mo>−</mo><msub><mi>a</mi><mn>1</mn></msub><mo>.</mo></mrow></math> | ⠁⠰⠢⠼⠃⠐⠤⠁⠢⠼⠁⠲ | ⠁⠰⠢⠼⠃⠐⠤⠁⠢⠼⠁⠲
✗ | <math><mrow><mspace width="2.3em"></mspace><mtable><mtr/><mtr><mtd columnalign="right"><mrow><mn>3</mn><mi>p</mi></mrow></mtd><mtd columnalign="left"><mo>=</mo></mtd><mtd columnalign="left"><mn>1</mn></mtd></mtr></mtable></mrow></math> | ⠬⠠⠬⠠⠠⠼⠉⠏⠀⠐⠶⠀⠼⠁⠠ | ⠼⠉⠏⠀⠐⠶⠀⠼⠁
✓ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mo>−</mo><mn>50</mn><mi>n</mi><mo>+</mo><mn>250</mn></mrow></math> | ⠁⠰⠢⠝⠀⠐⠶⠀⠐⠤⠼⠑⠚⠝⠐⠖⠼⠃⠑⠚ | ⠁⠰⠢⠝⠀⠐⠶⠀⠐⠤⠼⠑⠚⠝⠐⠖⠼⠃⠑⠚
✓ | <math><mrow><mi mathvariant="normal">$</mi><mn>100</mn><mo>+</mo><mi mathvariant="normal">$</mi><mn>5</mn><mo>=</mo><mi mathvariant="normal">$</mi><mn>105</mn></mrow></math> | ⠈⠎⠼⠁⠚⠚⠐⠖⠈⠎⠼⠑⠀⠐⠶⠀⠈⠎⠼⠁⠚⠑ | ⠈⠎⠼⠁⠚⠚⠐⠖⠈⠎⠼⠑⠀⠐⠶⠀⠈⠎⠼⠁⠚⠑
✓ | <math><mi>m</mi></math> | ⠰⠍ | ⠰⠍
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mrow><mo>−</mo><mn>2</mn></mrow></msup><mo>.</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠭⠔⠣⠐⠤⠼⠃⠜⠲ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠣⠐⠤⠼⠃⠜⠲
✗ | <math><mrow><mi>x</mi><mo>:</mo></mrow></math> | ⠭⠰⠒ | ⠰⠭⠰⠒
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mo>−</mo><mn>22</mn></mrow><mn>5</mn></mfrac></mstyle></mstyle></math> | ⠰⠷⠐⠤⠼⠃⠃⠨⠌⠼⠑⠾ | ⠐⠤⠼⠃⠃⠌⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>1.5</mn></math> | ⠼⠁⠲⠑ | ⠼⠁⠲⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2.1</mn></math> | ⠼⠃⠲⠁ | ⠼⠃⠲⠁
✗ | <math><mrow><msub><mi>log</mi><mn>2</mn></msub><mo stretchy="false">(</mo><mn>7</mn><mi>x</mi><mo>+</mo><mn>6</mn><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn></mrow></math> | ⠰⠰⠇⠕⠛⠢⠼⠃⠐⠣⠼⠛⠭⠐⠖⠼⠋⠐⠜⠀⠐⠶⠀⠼⠉ | ⠇⠕⠛⠢⠼⠃⠐⠣⠼⠛⠭⠐⠖⠼⠋⠐⠜⠀⠐⠶⠀⠼⠉
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>ϕ</mi><mo stretchy="false">)</mo></mstyle></math> | ⠎⠔⠐⠣⠼⠃⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | ⠎⠔⠐⠣⠼⠃⠨⠋⠐⠜
✗ | <math><mrow><mfrac><mtext>36,648,561</mtext><mtext>4</mtext></mfrac><mtext> = 9,162,140</mtext></mrow></math> | ⠰⠷⠼⠉⠋⠂⠀⠼⠋⠙⠓⠂⠀⠼⠑⠋⠁⠨⠌⠼⠙⠾⠀⠐⠶⠀⠼⠊⠂⠀⠼⠁⠋⠃⠂⠀⠼⠁⠙⠚ | ⠼⠉⠋⠂⠋⠙⠓⠂⠑⠋⠁⠌⠙⠀⠐⠶⠀⠼⠊⠂⠁⠋⠃⠂⠁⠙⠚
✓ | <math><msqrt><mn>7</mn></msqrt></math> | ⠰⠩⠼⠛⠬ | ⠰⠩⠼⠛⠬
✗ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>Number of outcomes in event A</mtext><mtext>Total number of possible outcomes.</mtext></mfrac></mrow></math> | ⠰⠰⠰⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠷⠠⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠑⠧⠑⠝⠞⠀⠠⠁⠨⠌⠠⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠏⠕⠎⠎⠊⠃⠇⠑⠀⠕⠥⠞⠉⠕⠍⠑⠎⠲⠾⠰⠄ | ⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠰⠰⠷⠠⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠕⠥⠞⠉⠕⠍⠑⠎⠀⠊⠝⠀⠑⠧⠑⠝⠞⠀⠠⠁⠨⠌⠠⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠏⠕⠎⠎⠊⠃⠇⠑⠀⠕⠥⠞⠉⠕⠍⠑⠎⠲⠾
✓ | <math><mrow><mn>41</mn><msqrt><mn>15</mn></msqrt><mo>−</mo><mn>23</mn><msqrt><mn>15</mn></msqrt></mrow></math> | ⠼⠙⠁⠩⠼⠁⠑⠬⠐⠤⠼⠃⠉⠩⠼⠁⠑⠬ | ⠼⠙⠁⠩⠼⠁⠑⠬⠐⠤⠼⠃⠉⠩⠼⠁⠑⠬
✓ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠐⠤⠼⠁⠂⠀⠼⠉⠐⠜ | ⠐⠣⠐⠤⠼⠁⠂⠀⠼⠉⠐⠜
✓ | <math><mn>215</mn></math> | ⠼⠃⠁⠑ | ⠼⠃⠁⠑
✓ | <math><mrow><msup><mi>z</mi><mfrac><mn>1</mn><mn>8</mn></mfrac></msup><mo>·</mo><msup><mi>z</mi><mfrac><mn>7</mn><mn>8</mn></mfrac></msup></mrow></math> | ⠵⠰⠔⠼⠁⠌⠓⠐⠲⠵⠔⠼⠛⠌⠓ | ⠵⠰⠔⠼⠁⠌⠓⠐⠲⠵⠔⠼⠛⠌⠓
✗ | <math><msqrt><mi>x</mi></msqrt></math> | ⠰⠰⠩⠭⠬ | ⠰⠩⠭⠬
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>H</mi><mo>−</mo><mi>x</mi><mo>=</mo><mn>5</mn></mstyle></math> | ⠠⠓⠐⠤⠭⠀⠐⠶⠀⠼⠑ | ⠠⠓⠐⠤⠭⠀⠐⠶⠀⠼⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>7.2</mn></math> | ⠼⠛⠲⠃ | ⠼⠛⠲⠃
