# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠰⠠⠑ | <math> <mi>E</mi> </math> | <math> <mi>E</mi> </math>
✓ | ⠼⠁⠐⠖⠼⠉⠀⠐⠶⠀⠼⠙ | <math> <mrow> <mrow> <mn>1</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>4</mn> </mrow> </math> | <math> <mrow> <mrow> <mn>1</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>4</mn> </mrow> </math>
✓ | ⠼⠃⠚⠨⠴ | <math> <mrow> <mn>20</mn> <mo>%</mo> </mrow> </math> | <math> <mrow> <mn>20</mn> <mo>%</mo> </mrow> </math>
✓ | ⠐⠣⠐⠤⠼⠁⠂⠀⠐⠤⠼⠋⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mrow> <mo>-</mo> <mn>6</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>,</mo> <mrow> <mo>-</mo> <mn>6</mn> </mrow> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠭⠰⠔⠼⠃⠐⠖⠼⠁⠚⠭⠐⠖⠼⠃⠑ | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>25</mn> </mrow> </math> | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>25</mn> </mrow> </math>
✓ | ⠛⠐⠣⠼⠃⠲⠉⠐⠜ | <math> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2.3</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2.3</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠼⠁⠊⠲⠃⠚⠌⠓⠀⠐⠶⠀⠼⠃⠲⠙⠚ | <math> <mrow> <mfrac> <mn>19.20</mn> <mn>8</mn> </mfrac> <mo>=</mo> <mn>2.40</mn> </mrow> </math> | <math> <mrow> <mfrac> <mn>19.20</mn> <mn>8</mn> </mfrac> <mo>=</mo> <mn>2.40</mn> </mrow> </math>
✓ | ⠨⠃⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠙⠔⠭⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>4</mn> <mi>x</mi> </msup> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mn>4</mn> <mi>x</mi> </msup> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠍⠀⠐⠶⠀⠐⠤⠼⠁⠂ | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠰⠗⠀⠐⠶⠀⠼⠚⠲⠊ | <math> <mrow> <mi>r</mi> <mo>=</mo> <mn>0.9</mn> </mrow> </math> | <math> <mrow> <mi>r</mi> <mo>=</mo> <mn>0.9</mn> </mrow> </math>
✓ | ⠠⠏⠐⠣⠠⠑⠐⠜⠀⠐⠶⠀⠰⠰⠷⠝⠐⠣⠠⠑⠐⠜⠨⠌⠝⠐⠣⠠⠎⠐⠜⠾ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠼⠁⠓ | <math> <mn>18</mn> </math> | <math> <mn>18</mn> </math>
✓ | ⠰⠏ | <math> <mi>p</mi> </math> | <math> <mi>p</mi> </math>
✓ | ⠼⠚⠲⠑⠔⠭⠀⠐⠶⠀⠼⠚⠲⠃⠚ | <math> <mrow> <msup> <mn>0.5</mn> <mi>x</mi> </msup> <mo>=</mo> <mn>0.20</mn> </mrow> </math> | <math> <mrow> <msup> <mn>0.5</mn> <mi>x</mi> </msup> <mo>=</mo> <mn>0.20</mn> </mrow> </math>
✓ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math>
✓ | ⠼⠋⠋⠘⠚ | <math> <msup> <mn>66</mn> <mo>°</mo> </msup> </math> | <math> <msup> <mn>66</mn> <mo>°</mo> </msup> </math>
✓ | ⠰⠰⠰⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠷⠠⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠞⠊⠍⠑⠎⠀⠑⠧⠑⠝⠞⠀⠠⠁⠀⠕⠉⠉⠥⠗⠎⠲⠨⠌⠠⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠞⠗⠊⠁⠇⠎⠾⠰⠄ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>A</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>Number of times event A occurs.</mi> <mi>Total number of trials</mi> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>A</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>Number of times event A occurs.</mi> <mi>Total number of trials</mi> </mfrac> </mrow> </math>
✓ | ⠰⠰⠨⠎⠢⠭⠔⠼⠃ | <math> <msubsup> <mi>σ</mi> <mi>x</mi> <mn>2</mn> </msubsup> </math> | <math> <msubsup> <mi>σ</mi> <mi>x</mi> <mn>2</mn> </msubsup> </math>
✓ | ⠼⠉⠲⠑⠌⠛ | <math> <mfrac> <mn>3.5</mn> <mn>7</mn> </mfrac> </math> | <math> <mfrac> <mn>3.5</mn> <mn>7</mn> </mfrac> </math>
✓ | ⠰⠠⠺ | <math> <mi>W</mi> </math> | <math> <mi>W</mi> </math>
✗ | ⠐⠣⠼⠙⠲⠑⠊⠂⠐⠷⠩⠼⠁⠋⠬⠨⠌⠼⠚⠲⠁⠚⠾⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mi>4</mi> <mo>⁢</mo> <mi>.59, </mi> <mo>⁢</mo> <mfrac> <msqrt> <mn>16</mn> </msqrt> <mn>0.10</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mn>4.59</mn> <mo>,</mo> <mfrac> <msqrt> <mn>16</mn> </msqrt> <mn>0.10</mn> </mfrac> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠰⠰⠰⠭⠀⠳⠕⠀⠁⠔⠐⠤⠰⠄ | <math> <mrow> <mi>x</mi> <mo>→</mo> <msup> <mi>a</mi> <mo>-</mo> </msup> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <msup> <mi>a</mi> <mo>-</mo> </msup> </mrow> </math>
✓ | ⠰⠅ | <math> <mi>k</mi> </math> | <math> <mi>k</mi> </math>
✓ | ⠼⠁⠙⠙⠀⠐⠶⠀⠼⠃⠔⠼⠙⠐⠦⠼⠉⠔⠼⠃ | <math> <mrow> <mn>144</mn> <mo>=</mo> <mrow> <msup> <mn>2</mn> <mn>4</mn> </msup> <mo>×</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mn>144</mn> <mo>=</mo> <mrow> <msup> <mn>2</mn> <mn>4</mn> </msup> <mo>×</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </mrow> </math>
✓ | ⠠⠭⠰⠱ | <math> <mover> <mi>X</mi> <mo>¯</mo> </mover> </math> | <math> <mover> <mi>X</mi> <mo>¯</mo> </mover> </math>
✓ | ⠺⠐⠣⠞⠐⠜⠀⠐⠶⠀⠗⠐⠣⠞⠐⠤⠼⠙⠐⠜⠐⠖⠼⠛ | <math> <mrow> <mrow> <mi>w</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mn>7</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>w</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mn>7</mn> </mrow> </mrow> </math>
✓ | ⠼⠃⠋⠘⠚⠲ | <math> <mrow> <msup> <mn>26</mn> <mo>°</mo> </msup> <mo>.</mo> </mrow> </math> | <math> <mrow> <msup> <mn>26</mn> <mo>°</mo> </msup> <mo>.</mo> </mrow> </math>
✗ | ⠨⠍⠼⠃⠚⠃⠃⠀⠸⠈⠣⠀⠨⠍⠼⠃⠚⠃⠁ | <math> <mrow> <mrow> <mi>μ</mi> <mo>⁢</mo> <mn>2022</mn> </mrow> <mo>≤</mo> <mrow> <mi>μ</mi> <mo>⁢</mo> <mn>2021</mn> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>μ</mi> <mn>2022</mn> </msub> <mo>≤</mo> <msub> <mi>μ</mi> <mn>2021</mn> </msub> </mrow> </math>
✓ | ⠰⠷⠼⠉⠋⠔⠣⠼⠉⠰⠃⠜⠨⠌⠼⠉⠋⠔⠣⠼⠃⠰⠃⠜⠾⠀⠐⠶⠀⠼⠃⠁⠋⠔⠣⠼⠃⠐⠤⠃⠜ | <math> <mrow> <mfrac> <msup> <mn>36</mn> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </msup> <msup> <mn>36</mn> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </msup> </mfrac> <mo>=</mo> <msup> <mn>216</mn> <mrow> <mn>2</mn> <mo>-</mo> <mi>b</mi> </mrow> </msup> </mrow> </math> | <math> <mrow> <mfrac> <msup> <mn>36</mn> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </msup> <msup> <mn>36</mn> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </msup> </mfrac> <mo>=</mo> <msup> <mn>216</mn> <mrow> <mn>2</mn> <mo>-</mo> <mi>b</mi> </mrow> </msup> </mrow> </math>
✗ | ⠰⠰⠰⠣⠠⠭⠱⠜⠢⠼⠁⠀⠠⠤⠀⠣⠠⠭⠱⠜⠢⠼⠃⠰⠄ | <math> <mrow> <msub> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mn>1</mn> </msub> <mo>⁢</mo> <mi> – </mi> <mo>⁢</mo> <msub> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mn>2</mn> </msub> </mrow> </math> | <math> <mrow> <msub> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mn>1</mn> </msub> <mo>–</mo> <msub> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mn>2</mn> </msub> </mrow> </math>
✓ | ⠼⠙⠓⠚ | <math> <mn>480</mn> </math> | <math> <mn>480</mn> </math>
✓ | ⠼⠃⠀⠈⠣⠀⠰⠷⠼⠋⠨⠌⠭⠔⠼⠃⠐⠤⠼⠉⠭⠐⠖⠼⠉⠾ | <math> <mrow> <mn>2</mn> <mo>&lt;</mo> <mfrac> <mn>6</mn> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>3</mn> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mn>2</mn> <mo>&lt;</mo> <mfrac> <mn>6</mn> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>3</mn> </mrow> </mfrac> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠊⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>x</mi> <mn>9</mn> </msup> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>x</mi> <mn>9</mn> </msup> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠰⠐⠤⠷⠃⠨⠌⠼⠃⠰⠁⠾⠲ | <math> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>b</mi> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>b</mi> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠙⠭⠔⠼⠃⠐⠤⠼⠃⠚⠭⠐⠖⠼⠃⠑ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mrow> <mn>20</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>25</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mrow> <mn>20</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>25</mn> </mrow> </mrow> </math>
✓ | ⠼⠓⠌⠁⠁ | <math> <mfrac> <mn>8</mn> <mn>11</mn> </mfrac> </math> | <math> <mfrac> <mn>8</mn> <mn>11</mn> </mfrac> </math>
✗ | ⠈⠎⠼⠁⠲⠁⠛⠦ | <math> <mrow> <mi>$1.17</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>$</mi> <mo>⁢</mo> <mn>1.17</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠘⠆⠨⠆⠰⠽ | <math> <mi>𝒚</mi> </math> | <math> <mi>𝒚</mi> </math>
✓ | ⠰⠰⠰⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠏⠑⠕⠏⠇⠑⠨⠌⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠽⠑⠁⠗⠎⠾⠰⠄ | <math> <mfrac> <mi>number of people</mi> <mi>number of years</mi> </mfrac> </math> | <math> <mfrac> <mi>number of people</mi> <mi>number of years</mi> </mfrac> </math>
✓ | ⠼⠙⠰⠓⠔⠼⠃⠐⠖⠼⠉⠋⠰⠓⠅⠐⠖⠼⠓⠁⠅⠔⠼⠃ | <math> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <msup> <mi>h</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>36</mn> <mo>⁢</mo> <mi>h</mi> <mo>⁢</mo> <mi>k</mi> </mrow> <mo>+</mo> <mrow> <mn>81</mn> <mo>⁢</mo> <msup> <mi>k</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <msup> <mi>h</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>36</mn> <mo>⁢</mo> <mi>h</mi> <mo>⁢</mo> <mi>k</mi> </mrow> <mo>+</mo> <mrow> <mn>81</mn> <mo>⁢</mo> <msup> <mi>k</mi> <mn>2</mn> </msup> </mrow> </mrow> </math>
✓ | ⠁⠰⠢⠼⠊⠀⠐⠶⠀⠼⠑⠙ | <math> <mrow> <msub> <mi>a</mi> <mn>9</mn> </msub> <mo>=</mo> <mn>54</mn> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>9</mn> </msub> <mo>=</mo> <mn>54</mn> </mrow> </math>
✓ | ⠰⠩⠼⠛⠑⠬ | <math> <msqrt> <mn>75</mn> </msqrt> </math> | <math> <msqrt> <mn>75</mn> </msqrt> </math>
✓ | ⠼⠁⠑⠌⠉⠃ | <math> <mfrac> <mn>15</mn> <mn>32</mn> </mfrac> </math> | <math> <mfrac> <mn>15</mn> <mn>32</mn> </mfrac> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠞⠁⠝⠐⠣⠞⠐⠜ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠼⠃⠀⠈⠣⠀⠰⠑⠀⠈⠣⠀⠼⠉ | <math> <mrow> <mn>2</mn> <mo>&lt;</mo> <mi>e</mi> <mo>&lt;</mo> <mn>3</mn> </mrow> </math> | <math> <mrow> <mn>2</mn> <mo>&lt;</mo> <mi>e</mi> <mo>&lt;</mo> <mn>3</mn> </mrow> </math>
✓ | ⠽⠰⠔⠼⠁⠌⠉ | <math> <msup> <mi>y</mi> <mfrac> <mn>1</mn> <mn>3</mn> </mfrac> </msup> </math> | <math> <msup> <mi>y</mi> <mfrac> <mn>1</mn> <mn>3</mn> </mfrac> </msup> </math>
✓ | ⠁⠰⠔⠼⠃⠐⠤⠃⠔⠼⠃⠦ | <math> <mrow> <mrow> <msup> <mi>a</mi> <mn>2</mn> </msup> <mo>-</mo> <msup> <mi>b</mi> <mn>2</mn> </msup> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>a</mi> <mn>2</mn> </msup> <mo>-</mo> <msup> <mi>b</mi> <mn>2</mn> </msup> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠃⠐⠖⠼⠙⠭⠐⠖⠼⠙⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠼⠑⠃⠚ | <math> <mn>520</mn> </math> | <math> <mn>520</mn> </math>
✓ | ⠬⠰⠷⠼⠑⠚⠚⠚⠐⠖⠼⠑⠚⠭⠨⠌⠭⠾⠀⠐⠶⠀⠼⠛⠑ | <math> <mrow> <mfrac> <mrow> <mn>5000</mn> <mo>+</mo> <mrow> <mn>50</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> <mi>x</mi> </mfrac> <mo>=</mo> <mn>75</mn> </mrow> </math> | <math> <mrow> <mfrac> <mrow> <mn>5000</mn> <mo>+</mo> <mrow> <mn>50</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> <mi>x</mi> </mfrac> <mo>=</mo> <mn>75</mn> </mrow> </math>
✓ | ⠐⠤⠼⠛⠂ | <math> <mrow> <mrow> <mo>-</mo> <mn>7</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>-</mo> <mn>7</mn> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠠⠏⠐⠣⠓⠕⠝⠕⠗⠀⠗⠕⠇⠇⠀⠸⠳⠀⠌⠥⠙⠽⠀⠁⠞⠀⠇⠂⠌⠀⠼⠁⠑⠀⠓⠳⠗⠎⠀⠺⠕⠗⠙⠀⠏⠻⠀⠺⠑⠑⠅⠐⠜⠀⠐⠶⠀⠼⠙⠓⠃⠌⠁⠚⠚⠚⠀⠐⠶⠀⠼⠚⠲⠙⠓⠃ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mi>(honor roll|study at least 15 hours word per week) = </mi> <mo>⁢</mo> <mfrac> <mn>482</mn> <mn>1000</mn> </mfrac> </mrow> <mo>=</mo> <mn>0.482</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>honor roll | studies at least 15 hours word per week</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>482</mn> <mn>1000</mn> </mfrac> <mo>=</mo> <mn>0.482</mn> </mrow> </math>
✓ | ⠼⠃⠑⠽⠔⠼⠃⠐⠤⠺⠔⠼⠃ | <math> <mrow> <mrow> <mn>25</mn> <mo>⁢</mo> <msup> <mi>y</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <msup> <mi>w</mi> <mn>2</mn> </msup> </mrow> </math> | <math> <mrow> <mrow> <mn>25</mn> <mo>⁢</mo> <msup> <mi>y</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <msup> <mi>w</mi> <mn>2</mn> </msup> </mrow> </math>
✓ | ⠰⠗⠀⠐⠶⠀⠼⠚⠲⠑⠂ | <math> <mrow> <mrow> <mi>r</mi> <mo>=</mo> <mn>0.5</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>r</mi> <mo>=</mo> <mn>0.5</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠃⠑ | <math> <mn>25</mn> </math> | <math> <mn>25</mn> </math>
✓ | ⠼⠙⠲⠙⠂ | <math> <mrow> <mn>4.4</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>4.4</mn> <mo>,</mo> </mrow> </math>
✗ | ⠈⠎⠼⠁⠲⠊⠑⠦ | <math> <mrow> <mi>$1.95</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>$</mi> <mo>⁢</mo> <mn>1.95</mn> </mrow> <mo>?</mo> </mrow> </math>
